Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1102,Gadget Y,Electronics,Warehouse 2,Aisle 1,300.0,9.99,Supplier C,In Stock,2024-06-17 12:40:01.374181
1435,Gadget Y,Electronics,Warehouse 2,Aisle 4,200.0,19.99,Supplier C,Out of Stock,2024-06-17 12:40:01.374181
1860,Widget A,Clothing,Warehouse 2,Aisle 3,100.0,19.99,Supplier B,In Stock,2022-12-20 00:00:00.000000
1270,Gadget Z,Toys,Warehouse 2,Aisle 4,50.0,49.99,Supplier B,In Stock,2022-12-20 00:00:00.000000
1106,Widget A,Furniture,Warehouse 3,Aisle 3,200.0,9.99,Supplier D,Out of Stock,2023-04-25 00:00:00.000000
1071,Widget B,Clothing,Warehouse 3,Aisle 5,300.0,28.08583858764187,Supplier A,In Stock,2022-12-20 00:00:00.000000
1700,Widget A,Clothing,Warehouse 2,Aisle 2,200.0,49.99,Supplier B,In Stock,2022-12-20 00:00:00.000000
1020,Widget C,Clothing,Warehouse 1,Aisle 5,200.0,9.99,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1614,Gadget Y,Electronics,Warehouse 3,Aisle 3,300.0,9.99,Supplier B,Out of Stock,2023-03-05 00:00:00.000000
1121,Widget B,Toys,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Out of Stock,2022-12-20 00:00:00.000000
1466,Widget A,Clothing,Warehouse 3,Aisle 1,161.40142517814726,49.99,Supplier B,In Stock,2023-01-15 00:00:00.000000
1214,Gadget Z,Furniture,Warehouse 2,Aisle 1,50.0,9.99,Supplier A,Low Stock,2023-01-15 00:00:00.000000
1330,Widget C,Toys,Warehouse 3,Aisle 4,150.0,9.99,Supplier B,In Stock,2023-04-25 00:00:00.000000
1458,Widget C,Furniture,Warehouse 2,Aisle 3,300.0,49.99,Supplier A,Low Stock,2023-03-05 00:00:00.000000
